name,address_or_area,gbp_category,review_count,avg_rating,services_offered,service_area_radius_miles,web_presence_bin,photo_count,notes
"Ground Zero Lawn Care",Largo 33771 / 33770,"Lawn care service",42,4.8,"mowing,edging,blowing,leaf cleanup",5,"placeholder",12,"solo operator; consistent reviews cite 'reliable weekly' pattern"
"Bay Area Green Team",Largo 33773,"Landscaper",28,4.6,"mowing,fertilization,mulching,landscape design",10,"functional",35,"medium crew; fertilization licensed (GI-BMP); higher ticket"
"Tampa Bay Premier Lawns",Largo 33774,"Lawn care service",156,4.9,"mowing,edging,fertilization,weed control,irrigation check",15,"strong",88,"established 8+ years; clear leader; premium pricing"
"Cut-Rite Lawn Maintenance",Largo 33771,"Lawn care service",19,4.4,"mowing,edging,blowing",4,"none",3,"solo operator; minimal web presence; price-disciplined"
"Florida Yard Pros",Clearwater 33756 (serves 33771),"Lawn care service",71,4.7,"mowing,mulching,hedge trim,seasonal cleanup",12,"functional",42,"medium-sized; strong Nextdoor presence"
"Sunshine Landscape Group",Largo 33778,"Landscaper",11,4.5,"landscape install,mulching,hedge trim",8,"placeholder",6,"install-focused; less recurring"
"Massey Services (regional)",Tampa Bay regional,"Pest control service",0,0,"pest,fertilization,lawn (franchise)",30,"strong",120,"national franchise; not direct competitor for mowing-only"
"TruGreen (regional)",Tampa Bay regional,"Lawn care service",0,0,"fertilization,weed control,lawn health",30,"strong",90,"national franchise; targets fertilization/health not mowing"
"Royal Palm Lawn Care",Largo 33773,"Lawn care service",33,4.7,"mowing,edging,blowing,hedge trim",6,"placeholder",18,"solo operator; bilingual signage; Nextdoor-recommended"
"Emerald Coast Lawns",Largo 33774,"Lawn care service",54,4.8,"mowing,edging,fertilization (licensed),mulching",8,"functional",28,"mid-tier pricing; reviews cite 'professional crew'"
"Pinellas Property Pros",Largo 33770,"Landscaper",15,4.6,"mowing,landscape install,irrigation",10,"placeholder",9,"install-heavy; less recurring mow"
"LawnStarter (aggregator)",Tampa Bay regional,"Lawn care service",0,0,"aggregator; subcontracts to local crews",30,"strong",15,"platform competitor; takes 15-20% commission"
"Largo Lawn Works",Largo 33771,"Lawn care service",22,4.5,"mowing,edging,blowing",5,"none",2,"solo operator; cash-only based on reviews; no website"
